Countries,female,male
Afghanistan,204.8516666666667,322.171
Africa Eastern and Southern,226.825975946667,315.6937041096683
Africa Western and Central,298.17716792901,336.9476712121373
Albania,53.54266666666667,103.54933333333334
Algeria,70.849,102.20933333333333
Angola,218.03066666666666,316.813
Antigua and Barbuda,58.76466666666666,103.77033333333334
Arab World,112.21189795469468,167.765671775399
Argentina,82.87233333333333,143.85333333333332
Armenia,76.255,228.57233333333332
Aruba,62.69433333333333,129.62566666666666
Australia,42.0215,74.1055
Austria,40.952,75.489
Azerbaijan,120.12666666666667,250.51266666666666
"Bahamas, The",144.258,241.02800000000002
Bahrain,50.733,59.782999999999994
Bangladesh,110.964,157.489
Barbados,85.76866666666666,125.24233333333332
Belgium,47.326,80.24233333333332
Belize,129.336,237.22466666666665
Benin,245.10999999999999,291.39033333333333
Bermuda,48.36233333333333,108.734
Bhutan,113.46966666666667,155.77700000000002
Bolivia,182.80866666666668,294.20133333333337
Bosnia and Herzegovina,53.669000000000004,98.18266666666666
Botswana,233.24166666666667,331.247
Brazil,97.43866666666668,189.602
British Virgin Islands,62.50333333333333,118.55433333333333
Brunei Darussalam,97.28433333333334,141.34266666666667
Bulgaria,98.41566666666667,207.52333333333334
Burkina Faso,234.19766666666666,311.91900000000004
Burundi,240.702,309.62533333333334
Cabo Verde,69.47433333333333,191.65966666666668
Cambodia,135.67,205.48166666666665
Cameroon,268.74133333333333,324.82033333333334
Canada,51.677499999999995,88.18350000000001
Caribbean small states,130.17989807327234,212.05694307272302
Central African Republic,367.68133333333327,450.7196666666667
Central Europe and the Baltics,61.5481334570222,150.461342199675
Chad,342.538,408.48199999999997
Channel Islands,39.24666666666667,60.87800000000001
Chile,62.762,114.99066666666666
China,55.53766666666667,108.83666666666666
Colombia,90.596,173.60466666666665
Comoros,193.43233333333333,268.83233333333334
"Congo, Dem. Rep.",247.73466666666664,316.51733333333334
"Congo, Rep.",257.2393333333333,308.45866666666666
Costa Rica,56.99700000000001,116.181
Cote d'Ivoire,337.53299999999996,351.999
Croatia,43.71066666666667,104.99733333333334
Cuba,85.06033333333333,145.58533333333335
Curacao,63.107,143.57533333333333
Cyprus,40.957,68.176
Czechia,56.09033333333334,115.306
Denmark,43.942,71.347
Djibouti,215.74266666666665,300.829
Dominica,103.21433333333334,170.99300000000002
Dominican Republic,104.899,197.09366666666665
EAR,142.956364462912,210.80519912331965
East Asia & Pacific,74.83333422625687,132.04039838999168
East Asia & Pacific (IDA & IBRD),78.3970913472699,137.65210000434
East Asia & Pacific (excluding high income),78.76764722223201,138.18599787616566
Ecuador,100.70866666666666,184.3033333333333
"Egypt, Arab Rep.",107.41733333333333,188.92466666666667
El Salvador,120.632,287.849
Equatorial Guinea,241.375,310.3713333333333
Eritrea,175.583,237.05566666666667
Estonia,58.202,147.038
Eswatini,312.645,498.27299999999997
Ethiopia,174.49099999999999,265.5203333333333
Euro area,43.97479489098325,83.97959173025795
Europe & Central Asia,55.1736992297905,109.487285677087
European Union,47.3788545831988,95.66182375436489
Fiji,182.929,239.43033333333332
Finland,42.809,88.86766666666666
Fragile and conflict affected situations,230.54006575105032,302.8173051582867
France,46.953,92.3485
French Polynesia,33.97566666666667,58.157333333333334
Gabon,187.95833333333334,274.95166666666665
"Gambia, The",239.79600000000002,288.0756666666667
Georgia,75.43466666666667,235.51266666666666
Germany,46.3885,84.31299999999999
Ghana,210.49366666666666,279.216
Gibraltar,46.22266666666667,75.452
Greece,42.34633333333333,94.52433333333333
Greenland,126.34066666666666,197.67933333333335
Grenada,89.283,154.429
Guam,87.87,174.0873333333333
Guatemala,141.18733333333333,241.64766666666665
Guinea,254.5716666666667,290.638
Guinea-Bissau,261.817,346.75499999999994
Guyana,180.069,299.91266666666667
Haiti,184.00966666666667,286.36833333333334
Heavily indebted poor countries (HIPC),217.9216126290987,295.54153391067103
High income,58.3164567849621,105.0154544515625
Honduras,126.03066666666666,187.12366666666665
"Hong Kong SAR, China",24.155,52.833
Hungary,76.7675,161.844
IBRD only,107.70074169091829,173.86338472303268
IDA & IBRD total,131.201478539373,197.31349276044
IDA blend,239.73676611432734,296.89623471841065
IDA only,184.1875332348187,259.64149604238264
IDA total,202.22912741270235,271.97576035934236
Iceland,43.928,65.14750000000001
India,156.69000000000003,216.56000000000003
Indonesia,161.14333333333335,218.87299999999996
"Iran, Islamic Rep.",76.48233333333333,144.24099999999999
Iraq,128.47733333333335,185.76699999999997
Ireland,42.45399999999999,69.459
Isle of Man,52.68666666666667,82.28966666666666
Italy,35.534,61.477
Jamaica,133.19433333333333,201.49633333333335
Japan,35.584666666666664,64.41366666666666
Jordan,73.41066666666667,116.49666666666667
Kazakhstan,116.76233333333333,266.085
Kenya,300.293,397.00066666666663
Kiribati,162.36433333333332,211.16633333333334
"Korea, Dem. People's Rep.",107.91666666666667,181.26933333333332
"Korea, Rep.",28.054666666666666,66.262
Kosovo,54.977,103.14800000000001
Kuwait,36.54533333333333,69.58133333333333
Kyrgyz Republic,107.53766666666667,262.23
LMY,131.758877093039,197.432518233845
LTE,65.52073381466403,129.477984896036
Lao PDR,144.03633333333335,199.65
Latin America & Caribbean,105.5310086946563,201.51521327515698
Latin America & Caribbean (IDA & IBRD),106.14074983313736,202.802635646325
Latin America & Caribbean (excluding high income),107.2626391584527,203.44006981882634
Latvia,84.503,210.61
Least developed countries: UN classification,187.94172713030733,264.6742879284027
Lebanon,65.742,97.61666666666667
Lesotho,411.093,524.4826666666667
Liberia,262.5663333333333,302.632
Libya,121.00433333333335,194.77700000000002
Lithuania,77.917,212.304
Low income,207.96561265799232,292.5093790611663
Lower middle income,159.96072513648866,222.041986613844
Luxembourg,37.89333333333334,66.65766666666667
MIC,124.22275291353333,188.40973666661765
"Macao SAR, China",24.287000000000003,48.38033333333333
Madagascar,186.54333333333332,257.549
Malawi,242.40033333333335,385.87300000000005
Malaysia,75.521,147.10333333333332
Maldives,40.937000000000005,55.547
Mali,248.90333333333334,302.718
Malta,24.06233333333333,46.79
Marshall Islands,240.43766666666667,293.2543333333333
Mauritania,175.12133333333335,228.56499999999997
Mauritius,94.54233333333333,189.01933333333332
Mexico,123.762,259.151
"Micronesia, Fed. Sts.",104.43166666666667,215.75766666666667
Middle East & North Africa,94.38840225086312,151.753852221403
Middle East & North Africa (IDA & IBRD),97.30873980699306,165.46264986509067
Middle East & North Africa (excluding high income),97.15434813538297,165.093091326127
Moldova,104.02,277.7726666666667
Mongolia,100.32133333333333,255.62333333333333
Montenegro,67.536,133.12766666666667
Morocco,84.77266666666667,128.856
Mozambique,235.021,370.76099999999997
Myanmar,155.68566666666666,262.6843333333333
Namibia,287.4746666666667,440.237
Nauru,248.09900000000002,402.012
Nepal,148.00966666666667,204.75833333333333
Netherlands,45.049,62.374
New Caledonia,49.385333333333335,115.161
New Zealand,50.06,78.15133333333334
Nicaragua,102.99433333333333,197.69866666666667
Niger,215.47366666666667,260.7336666666667
Nigeria,360.0543333333333,378.0246666666667
North America,82.30599235254655,143.458991406326
North Macedonia,61.476,108.931
Norway,37.329499999999996,60.3755
OECD members,65.0293987215021,121.77939129593949
Oman,72.89,105.22566666666667
Other small states,190.056516079277,233.783309890484
PRE,258.13690233579564,322.2378778158573
PST,57.6047260743753,103.84764390414665
Pacific island small states,157.773960728095,214.534873198882
Pakistan,141.27533333333335,213.56333333333336
Panama,82.63900000000001,156.35766666666666
Papua New Guinea,175.67200000000003,273.1686666666667
Paraguay,122.67266666666667,206.38466666666667
Peru,108.50999999999999,177.27466666666666
Philippines,119.45966666666668,169.68933333333334
Poland,59.826,156.201
Portugal,44.166666666666664,99.95333333333333
Puerto Rico,60.64133333333333,158.65766666666664
Qatar,42.63333333333333,52.76
Romania,63.75633333333334,164.76
Rwanda,190.06266666666667,273.09766666666667
Samoa,109.59433333333334,173.84833333333333
Sao Tome and Principe,187.48933333333335,279.61899999999997
Saudi Arabia,83.50666666666667,103.06599999999999
Senegal,142.457,222.457
Serbia,63.14266666666666,135.85133333333332
Seychelles,98.43400000000001,207.179
Sierra Leone,225.35833333333335,264.0316666666667
Singapore,33.10266666666667,57.24633333333333
Sint Maarten (Dutch part),73.593,128.20833333333334
Slovak Republic,61.629,140.371
Slovenia,38.484,87.422
Small states,175.579663780852,228.795282427006
Solomon Islands,144.53,184.84433333333334
Somalia,275.1483333333333,354.2543333333333
South Africa,262.5113333333333,365.068
South Asia,150.19055505361098,211.83145151026966
South Asia (IDA & IBRD),150.19055505361098,211.83145151026966
South Sudan,309.02733333333333,370.424
Spain,37.039,72.0715
Sri Lanka,67.37466666666667,149.89766666666665
St. Kitts and Nevis,110.76866666666668,234.99800000000002
St. Lucia,94.11966666666666,193.57966666666667
St. Martin (French part),39.06366666666667,76.92133333333334
St. Vincent and the Grenadines,137.38333333333333,214.27266666666665
Sub-Saharan Africa,254.94761860463132,324.260160326718
Sub-Saharan Africa (IDA & IBRD),254.94761860463132,324.260160326718
Sub-Saharan Africa (excluding high income),254.96297719677668,324.2740511531923
Sudan,170.42999999999998,246.029
Suriname,139.833,230.765
Sweden,37.01033333333333,59.41733333333334
Switzerland,32.57,56.089666666666666
Syrian Arab Republic,93.78066666666666,188.77800000000002
Tajikistan,123.07766666666667,184.28166666666667
Tanzania,187.756,246.82833333333335
Thailand,71.14833333333333,174.56033333333335
Timor-Leste,151.71933333333334,197.65066666666667
Togo,251.94299999999998,281.07
Tonga,157.03733333333332,231.72566666666668
Trinidad and Tobago,113.56966666666666,198.38
Tunisia,66.88600000000001,136.155
Turkiye,54.86933333333334,122.74166666666667
Turkmenistan,116.83633333333334,230.92
Turks and Caicos Islands,76.16633333333333,132.08133333333333
Tuvalu,216.492,384.09566666666666
Uganda,243.7603333333333,339.106
